order,gender,home,university,major,before.university,post.university,qq.time,wechat.time,qq.strangers,qq.friends,qq.useful,qq.facilities,qq.knowledge,qq.easy,qq.privacy,qq.enjoyful,qq.habit,qq.social,qq.social.2,qq.important,qq.good,wechat.strangers,wechat.friends,wechat.useful,wechat.facilities,wechat.knowledge,wechat.easy,wechat.privacy,wechat.enjoyful,wechat.habit,wechat.social,wechat.social.2,wechat.important,wechat.good,第9题(功能各有所长),第9题(都用使用需求和使用场景),第9题(社交圈在QQ和微信大致相似),第9题(无所谓，随便用),第9题(其他)
47,2,3,3,5,1,1,3,3,1,7,7,7,1,7,7,7,7,1,1,7,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
48,1,2,2,4,1,3,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,1,0,0
49,1,3,1,1,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,7,7,7,7,6,3,5,7,6,6,6,6,-3,-3,-3,-3,-3
50,1,2,1,1,1,2,3,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,7,7,7,7,4,6,6,3,5,7,5,-3,-3,-3,-3,-3
51,1,1,1,1,3,3,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,0,1,0
52,2,1,1,1,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,7,7,5,5,1,5,6,4,4,6,5,-3,-3,-3,-3,-3
53,2,2,1,1,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,6,7,7,6,6,3,4,7,5,4,7,5,-3,-3,-3,-3,-3
54,1,3,1,3,2,1,2,2,5,5,6,7,7,7,6,6,6,6,6,6,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
55,2,3,2,1,3,2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7,5,5,6,6,6,6,6,6,6,6,5,-3,-3,-3,-3,-3
56,2,1,3,1,2,2,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,7,6,6,6,6,3,6,6,6,6,6,4,-3,-3,-3,-3,-3
57,2,2,1,1,1,3,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,0,0,0
58,2,1,1,1,1,1,4,3,4,7,7,7,7,7,4,4,6,4,4,4,5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
59,1,1,1,3,2,2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,6,7,7,7,7,7,6,7,7,6,7,7,-3,-3,-3,-3,-3
60,2,1,1,1,3,2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,7,7,7,7,7,6,7,7,4,6,6,7,-3,-3,-3,-3,-3
61,1,3,1,3,2,2,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,6,6,7,6,6,4,6,6,7,4,7,5,-3,-3,-3,-3,-3
